,메뉴명,설명
0,갈비찜,소갈비를 이용한 한국 요리
1,갈비찜,명절이나 잔칫상에 올라가는 음식이다
2,갈비찜,이것 또한 밥도둑 반찬이며 입맛이 없을때 먹기 좋은 음식이다.
3,갈비찜,추석이나 설날에 먹는 한국적인 음식!
4,갈비찜,"매운양념, 안 매운 양념 다 맛있어요,,"
5,갈비찜,어떻게 만들어도 고기는 진리..
6,갈비찜,하지만 지금은 소득 수준이 올라가고 한우보다 저렴한 수입육이 많이 들어오면서 이전보다 가격 부담은 많이 줄었다
7,갈비찜,매운 걸 좋아하는 사람들에 맞춰서 매운 양념이 더해진 매운갈비찜도 있다
8,갈비탕,결혼식 등 한국 잔치의 단골 음식으로도 잔치음식이다
9,갈비탕,행사때 주로 먹는 국밥 느낌..!
10,갈비탕,가격은 비싸지만 그만 큼 맛있는 음식
11,갈비탕,원기회복을 하고싶을때 먹는 고기 국!
12,갈비탕,뜨끈한 국물이 생각날때 먹으면 좋아!
13,갈비탕,갈비와 양지 등을 오랜 시간 동안 우려내고 국간장과 소금 양념 등을 넣고 끓인다
14,갈비탕,소갈비를 쓰는 편이다
15,갈비탕,갈비에 고기 국물을 내어서 만든 음식
16,갈비탕,입맛이 없을때 밥 한공기와 함께 먹기 좋다.
17,갈비탕,대한민국의 국물 요리이자 소갈비로 만든 육탕 음식
18,갈비탕,대체로 고기가 붙은 뼈를 건져먹고 나서 밥을 말아 먹어 마무리를 하는 편 
19,감바스,올리브 기름에 마늘과 페페론치노로 맛을 내는 과정이 알리오 올리오와 비슷해서 남은 감바스 알 아히요의 오일 국물에 스파게티 면을 삶아 넣고 면수를 추가하여 에멀젼하는 과정을 거치면 훌륭한 오일 파스타가 완성된다
20,감바스,실제로는 재료도 구하기 쉽고 과정 자체는 간단한 요리로 이국적이면서 만들기도 쉬워 집에서 분위기를 낼 때 좋다
21,감바스,바게트에 찍어먹으면 정말 맛있어여..
22,감바스,마늘 왕창! 새우 왕창! 올리브 오일 왕창!
23,감바스,캠핑에서 만들어먹기도 좋은 요리
24,감바스,"소금과 후추로 간을 한 새우를 마늘, 페페론치노와 함께 올리브 오일에 넣어 낮은 온도에서 끓이는 음식으로, 보통 바게트같은 단단한 빵과 곁들여 먹지만 치아바타처럼 부드러운 빵과 함께 먹어도 맛있다"
25,감바스,새우와 마늘을 주 재료로 한 스페인 요리이다
26,감바스,"사먹는 경우 가격은 15000원 정도이며 분위기 있는 장소에서 와인, 맥주와 먹는 경우가 많다"
27,감자전,비오는 날 많은 사람들이 찾는 음식이다.
28,감자전,감자전을 먹을 때는 동동주 막걸리와 같이 많이 먹는다
29,감자전,"비오늘날에 먹기 좋은 전,,"
30,감자전,원재료의 맛을 잘 느낄 수 있는 음식
31,감자전,감자지짐 
32,감자전,한식의 한 종류인 전에서 파생된 음식 강원도 등의 지방의 향토 음식이다
33,감자탕,돼지의 등뼈와 목뼈 부위를 이용하여 만드는?탕
34,감자탕,"양심적인 식당이라면 아무리 비싸게 잡아도 15,000원 남짓을 넘는 가격을 책정하지 않는다"
35,감자탕,저렴한 가격에 맛있는 탕!
36,감자탕,볶음밥은 꼭 먹어야 하죠!
37,감자탕,살을 발라내서 고기랑만 먹어도 맛있어요..!
38,감자탕,"돼지 등뼈와?우거지,?시래기,?깻잎,?들깨가루,?된장,?고추장,?고추가루,?감자?등을 넣어서 만든다"
39,감자탕,칼칼하면서도 매콤하고 약간 걸쭉한 국물이 포인트
40,감자탕,"일반적으로 감자와?당면,?수제비?등의 사리를 넣는 경우가 많고, 대부분의 뼈해장국에는 이들이 들어가지 않는다"
41,감자탕,감자와 사리의?전분?때문에 이것은 오래 끓일수록 뼈해장국보다 국물이 걸쭉해진다
42,감자탕,비교적 저렴한 가격에 먹을 수 있는 뼈 국물 요리이기 때문에 인기가 많은 편이다
43,감자탕,"특유의 얼큰하고 시원한 국물 덕에 해장에도 좋고, 고기를 뜯어먹는 맛에 인기 있는 음식이다"
44,감자탕,남은 국물에 밥을 볶아 먹는 것이 가능하다
45,게장,짭짤하면서도 매콤하고 달달한 맛이 난다
46,게장,"밥도둑이라는 별명도 있는데, 입맛을 돋구어 밥을 많이 먹게할만큼 맛있는 음식이라는 의미이다"
47,게장,다른 말이 필요없는 밥도둑!
48,게장,"간장, 양념 모두 맛있어요!"
49,게장,가격은 비싸지만 언제먹어도 돈 값을 하는 음식
50,게장,"게를 간장물에 담가 숙성해 만든 젓갈의 하나로, 보통 쌀밥과 먹는다"
51,게장,밥과 함께 반찬으로 먹으면 너무 맛있어서 밥도둑이라는 별명을 가지고있다
52,게장,간장으로 만든 간장게장과 양념게장을 주로 만든다
53,게장,게를 간장이나 양념에 숙성하여 만드는 음식
54,고등어구이,"생선구이의 하나로, 손질한?생선을 석쇠나 팬에 구워 먹는 요리로 제주도와 안동의 요리가 유명하다"
55,고등어구이,"?그리고?경상도에서는?돔배기,?문어,?가자미,?조기랑 같이 제사에도 올라간다"
56,고등어구이,안주로도 좋은 고갈비 구이!
57,고등어구이,뼈를 정말 발라먹기 쉬운 생선구이!
58,고등어구이,살도 통통해서 정말 맛있어요!
59,고등어구이,생김치 얹어서 먹으면 밥도둑
60,고등어구이,경상도 식당에서는 된장찌개랑 같이 정식집에 반찬으로 올라간다
61,고등어구이,간고등어구이로 먹을 때는 손질한 생선에 굵은 소금을 뿌린 뒤 몇 시간 후에 소금을 털어낸 뒤 굽는다
62,고등어구이,싱싱한 생선의 내장과 아가미를 제거한 뒤 몸통에 칼집을 넣고 소금을 친 뒤 달군 석쇠에 서서히 굽는다
63,고등어구이,팬에 구울 때는 기름을 둘러 노릇노릇하게 굽는다
64,고등어구이,이때 주로 간장을 찍어 먹는다
